"","datetime","lat","long","mag"
"647",1985-01-02 05:24:58,34.05001,-116.53582,3.77
"648",1985-01-04 20:11:35,32.1005,-117.55017,3.19
"649",1985-01-14 21:57:50,32.0025,-116.45117,3.34
"650",1985-01-18 17:24:15,33.87353,-115.97782,3.1
"651",1985-01-19 00:30:15,33.99568,-116.39461,3.72
"653",1985-01-21 04:18:18,35.78383,-115.8535,3.04
"657",1985-01-22 02:32:47,35.8795,-116.12517,3.15
"658",1985-01-22 11:38:52,33.99189,-116.78515,3.14
"661",1985-01-25 13:50:12,33.93981,-117.07753,3.37
"662",1985-01-26 06:41:00,34.21283,-119.04383,3.3
"663",1985-02-01 14:59:19,32.35033,-115.12017,3.11
"665",1985-02-04 03:09:24,32.29717,-117.97167,3.71
"666",1985-02-08 06:58:17,35.45368,-118.89814,4.61
"668",1985-02-10 13:59:06,33.8825,-116.27398,3.52
"669",1985-02-11 13:58:05,32.97381,-116.42798,3.26
"673",1985-02-18 13:53:43,33.02542,-116.35549,3.21
"674",1985-02-19 05:09:35,34.16536,-116.97354,3.23
"675",1985-02-19 16:37:14,34.03993,-116.76878,3.19
"676",1985-02-21 07:54:42,33.48403,-116.41965,3.1
"677",1985-02-26 23:35:05,35.85883,-119.6014,3.43
"678",1985-02-28 04:42:08,33.9668,-116.2899,3.56
"679",1985-03-03 01:26:09,32.59783,-117.99183,3.4
"680",1985-03-04 11:51:10,33.99864,-118.58857,3.18
"681",1985-03-12 17:41:53,32.01683,-114.9265,3.55
"682",1985-03-13 17:19:26,33.20817,-116.06927,3.07
"683",1985-03-20 03:52:29,33.05654,-116.40091,3.3
"684",1985-03-29 02:46:51,32.0765,-116.36867,3.27
"685",1985-04-01 06:13:33,35.98335,-117.3598,3.22
"686",1985-04-03 04:04:50,34.38794,-119.05336,4.07
"687",1985-04-08 01:09:33,34.05561,-118.93923,3.37
"689",1985-04-18 21:26:04,32.81465,-116.10528,3.02
"690",1985-04-19 03:55:52,32.2015,-116.92533,3.81
"691",1985-04-28 22:23:53,34.02202,-117.03573,3.19
"692",1985-05-06 23:14:33,35.28363,-119.34791,4.41
"693",1985-05-10 15:47:59,34.40217,-120.85283,3.8
"694",1985-05-11 01:23:18,34.039,-117.22594,3
"696",1985-05-12 13:57:43,33.45491,-116.51298,3.12
"702",1985-05-25 15:50:45,33.95951,-116.64777,3.28
"704",1985-06-02 15:01:17,34.44362,-120.05575,3.15
"705",1985-06-03 02:05:30,34.00281,-116.09937,3.21
"706",1985-06-03 06:53:27,33.03453,-115.98195,3.3
"707",1985-06-05 10:00:50,32.97573,-115.57356,3.3
"708",1985-06-05 18:10:05,33.34918,-116.33467,3.63
"710",1985-06-10 00:58:01,34.20587,-116.81683,3.29
"711",1985-06-10 12:50:20,33.6901,-117.38467,3.03
"713",1985-06-18 00:12:55,32.68048,-117.15489,3.71
"714",1985-06-18 01:23:40,35.22097,-117.32714,3.8
"717",1985-06-21 00:50:59,34.00094,-117.15967,3.54
